source_id,title,youtube_id,youtube_url,last_timestamp,transcript_words,transcript_sha256
99,Meet The Most Interesting Man On The Planet,3K43YBxUp0I,https://www.youtube.com/watch?v=3K43YBxUp0I,"00:19:12,568",3932,d23e4a86390804fcdf5175759040846d4e14f9a1dc1368f0e964dbb638de97f2
100,Asking Luxury Shoppers How They Got RICH! (Miami),ZHFNlM0xG4U,https://www.youtube.com/watch?v=ZHFNlM0xG4U,"00:15:17,800",3880,406b5c37f884211932f526f0f5c530e98575bb7a3bdd167bed74a88180fc4a25
101,Asking Millionaires How They Got RICH! (Miami),BP548td2dds,https://www.youtube.com/watch?v=BP548td2dds,"00:18:11,040",4334,70e66af4b7a377b85bf1e4e5e41c960128fc56e49784214588a36ed356f9d515
102,Young Entrepreneur Interviews Billionaire Grant Cardone,yOSsd1Tpno4,https://www.youtube.com/watch?v=yOSsd1Tpno4,"00:44:28,704",9439,d318a6ab0afab3a0c4697e3ac45f98979a14178765a8560f414fcc68648dc80c
103,Asking Millionaires How They Got RICH! (Dallas),jJxwJhdKb1s,https://www.youtube.com/watch?v=jJxwJhdKb1s,"00:14:51,940",3719,15190b75e307984765ca6ff553ca0e3205fb7cb90455da5b22310478a91f545b
104,From $0 To $12M A Year At 26Years Old. Here’s How,7Cxfg0N_MUw,https://www.youtube.com/watch?v=7Cxfg0N_MUw,"00:08:13,000",1871,7dd1c1d2cfbe8f1ab15280c923faefad7cf661d7935389bb9503881c03d4da38
105,Asking Millionaire Homeowners How They Got Rich,H1Dt1Pz-B4g,https://www.youtube.com/watch?v=H1Dt1Pz-B4g,"00:15:34,378",3828,306a1078d30d40a4cf3f0936a7193c441349589e0ed456a887a20edbaf4825fc
106,Asking Millionaires How They Got RICH! (Houston),FLgy1LvYTDI,https://www.youtube.com/watch?v=FLgy1LvYTDI,"00:11:56,980",3007,0b58e51555f461e895177649acc18b11cdb370547e79b8e13d25eebd22f6f65f
107,6 Questions With A Public CEO,bmQRL82f-5I,https://www.youtube.com/watch?v=bmQRL82f-5I,"00:20:29,460",3849,d824a0565ec8457def98c49d6d066601147a0e36567173a50d81630aa60ddf25
108,The Single Skill That Built His $100M Year Business,oRqUthcMi6I,https://www.youtube.com/watch?v=oRqUthcMi6I,"00:14:53,760",3080,f809fa7412437b76b94beab0a85694401b2331f276633795bbca48d404f69e3d
109,Asking Miami Luxury Shoppers How They Got Rich,efJj9j2NRJg,https://www.youtube.com/watch?v=efJj9j2NRJg,"00:11:59,360",2849,8cbc33e84c4d00f937fc77d4359e4ae86cc099c10988c4d3102bd2150a7bdc52
110,He Turned $100k Into $25M,lAOliWexJgo,https://www.youtube.com/watch?v=lAOliWexJgo,"00:17:15,460",4320,6c33df7bf7a3d4be91f24dcfa11e9d0f5ac62b5b7b15f4630f701890a0a95872
111,Asking Miami Millionaires How They Got Rich,O_FWBldliEo,https://www.youtube.com/watch?v=O_FWBldliEo,"00:14:43,780",3560,7937f1a5c40439f47b4f0ac9fe1eec12a95ac9ec1829cef31ce7051a27ac24e8
112,Asking Orlando Millionaires How They Got Rich,C2lgZOIPp8c,https://www.youtube.com/watch?v=C2lgZOIPp8c,"00:12:43,140",3230,6fcc23aa07836328246b26e2113de7fb297489eb4f8f91532f8ffc4e8ed833a4
113,"Asking Strangers How Much MONEY They Make (Austin, Texas)",1m7ERHu13sc,https://www.youtube.com/watch?v=1m7ERHu13sc,"00:11:00,180",2864,c79c8622653ee336690ef0d00b5f9416c58f5854f9f24523f4c7bb7d66d85200
114,Asking A Tech Millionaire How To Start & Scale a Tech Company,3G79t-mcgJ8,https://www.youtube.com/watch?v=3G79t-mcgJ8,"00:12:47,600",3031,0e64355831d054e2f02d240c99e6355c2df8c2b262167f130940781dbef77323
115,Asking Denver Millionaires How Much Money They Make,w1bpdHouHpI,https://www.youtube.com/watch?v=w1bpdHouHpI,"00:07:07,220",1845,a1bf0d4f77b23cf311ec3f81b97f606cca3ecdbcd4a838be9e2377994b6243cd
117,Asking Millionaires How They Got RICH! (Houston),Kq4nx8DLrpY,https://www.youtube.com/watch?v=Kq4nx8DLrpY,"00:09:50,100",2676,ffbd2888127f233a3766de6d529887935c2392b95ae619cb44941ef9869d769c
118,Entrepreneurs Guide To Start and Scale ANY Business,MtvcqGNGev8,https://www.youtube.com/watch?v=MtvcqGNGev8,"00:08:44,700",2053,67b85678f7ad79846106ca5e469657bd479025fd8356c86f1f322fa5b708d32a
119,How to Make $2 Million in Commercial Real Estate,3aG9DVb6vBs,https://www.youtube.com/watch?v=3aG9DVb6vBs,"00:09:12,260",2105,0bf706e178060857a4f2d78a98107cc0ce3d778d85c1f3b1af164e200d8d061d
120,Asking Entrepreneurs How They Got RICH! (San Antonio),Iw7huxwfHRM,https://www.youtube.com/watch?v=Iw7huxwfHRM,"00:09:46,860",2395,205b12be95091446da4d8ea80ff241a7c6b6da861f2cef9aefe40e698c51087a
121,Asking Golf Course Millionaires How They Got Rich,RGt99we0cGA,https://www.youtube.com/watch?v=RGt99we0cGA,"00:10:28,100",2589,de57e58d574f626ff5f8b45dcd81b56ce55d2e21e0e4a99cf5fe3a6dd347c38f
122,HOW TO GET EVERYTHING YOU WANT IN LIFE Ft. Josh Terry,_wo0ox2mSjc,https://www.youtube.com/watch?v=_wo0ox2mSjc,"00:09:29,060",2293,7db9ea9ecff2e5b8ea688bb3be67391285f20a2b25e931c96e23c319a4a20e70
123,Asking a Private Equity Millionaire How He Got Rich,uf0Or7n8_bU,https://www.youtube.com/watch?v=uf0Or7n8_bU,"00:16:17,420",3938,10fe3f74a353759fbff037e4c449b34ac9fa1b734404dd58c46c396c1a09f5f3
124,"Asking Millionaires How To Make $1,000,000!",O_pe_5L769E,https://www.youtube.com/watch?v=O_pe_5L769E,"00:08:30,359",1996,04a9e1c18b5c06ef4ff1de3e9ee71e3555e0fd5f72b20b9a1b2eb9f0fd33543b
125,Entrepreneurs interesting perspective to building wealth,RI8aZSK1Nr4,https://www.youtube.com/watch?v=RI8aZSK1Nr4,"00:00:31,540",110,a600f52e67f5e26a6f6efda54b0e3c44f048b1cad9163a6ebd409c81c2259fec
126,Fashion Entrepreneurs Wise Life Advice,Kl2_ddXq0QU,https://www.youtube.com/watch?v=Kl2_ddXq0QU,"00:00:29,120",138,8fca7d236ae2ae85cd9d1ab61b6f8ca6913ed5655acdf04a72797de04f757867
127,Serial Entrepreneurs Advice For Overcoming Obstacles in Business,94KT6kW4qQ0,https://www.youtube.com/watch?v=94KT6kW4qQ0,"00:00:26,340",107,36b7e6714e1d3a57ac56edd6486bab4818ed694d99b1af3b76ff70187ad3d9a1
128,Commercial Real Estate Brokers Advice To Young People,bFnlLPuGoIM,https://www.youtube.com/watch?v=bFnlLPuGoIM,"00:00:41,320",201,6581df0115df38f890044b01231a418981b0a0c3bb142f65ea19de8a38769fab
129,How Can Someone Break Into The Tech Industry？,fEX1Oy51iJs,https://www.youtube.com/watch?v=fEX1Oy51iJs,"00:00:45,209",222,11569459dbb47761cb9f9d29f655ced9a4db6d6dd1bef7072ebebfa222505ec8
130,He Made $1 Billion. Does Money Buy Happiness？,48TQYZOgE1s,https://www.youtube.com/watch?v=48TQYZOgE1s,"00:00:36,120",136,58c6fe78043c0a3507d85fd45110754f755f5eb9e06c1fdc4babbe1b535398e5
131,From Summit to Success： Entrepreneur's Billion-Dollar Lesson from 'Into Thin Air,8GgL-uvICKY,https://www.youtube.com/watch?v=8GgL-uvICKY,"00:01:29,559",417,515ad7f0bb7cb2349835ff8ea5514d0adeec9fd09483afc191effe10137e4753
132,"How I Turned $1,000 Into $1 Billion",MQv7Te8VmYI,https://www.youtube.com/watch?v=MQv7Te8VmYI,"00:16:34,545",3836,27d8d6191c9cdd062e24d5a20a0ddbe1767e068bd9595a8aa26102562330a6da
133,Life After Selling Your Company For $1 Billion,BT6YGOROV6c,https://www.youtube.com/watch?v=BT6YGOROV6c,"00:15:52,940",3703,e8d25a123fff8cbfe8c94acdb13145c9a821f33f7c673ce31fdfe1fd72125475
134,10 Questions with a Millionaire： Founder & E-commerce Entrepreneur Robert Miller,TpVlJpiV6U8,https://www.youtube.com/watch?v=TpVlJpiV6U8,"00:14:34,640",3824,2590eafaac910c3a3fe94f289bdbafda31fe5c05e8699e44b9369e86c9e3034e
135,Asking Texan’s Their Best Life Advice (DALLAS!),8M5QEOicQKQ,https://www.youtube.com/watch?v=8M5QEOicQKQ,"00:06:20,500",1590,74a63fe1e8c756fc1f7e78146002458b4e9460cf84de1be1a135e2d6b005c5b3
